folder,filename,path,database,width,height,depth,segmented,name,pose,truncated,difficult,xmin,ymin,xmax,ymax,ID,Date,Time,Lon,Lat,Altitude,North,Azimuth,Cam. Maker,Cam. Model,Title,Comment,Path,RelPath,Timestamp,Images,Link,Description,SENTIDO,geometry,index_right,COMPRIMENTO,KM,KM ESTACA,OFFSET
ACESSO,G0025602.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0025602.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,1903,941,2221,1357,e8570219-7e58-40b5-9c1b-9b105d013b17,2025-05-09,11:49:02,-38.3465287,-4.0882499999999995,27.335,,,GoPro,HERO11 Black,DCIM\101GOPRO\G0025602.JPG,,D:/CE 350 LVC/COMPRIMIDO\101GOPRO\G0025602.JPG,D:\CE 350 LVC\COMPRIMIDO\101GOPRO\G0025602.JPG,2025-05-09 11:49:02,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\101GOPRO\G0025602.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\101GOPRO\G0025602.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\101GOPRO\G0025602.JPG"">G0025602.JPG</a>",ACESSO,POINT (572532.7669076782 9548088.356399473),1828,9.999999999921066,18.29,18+290,-5.8
ACESSO,G0026906.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0026906.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,1723,876,1918,1356,867ac464-c0c0-4397-a7eb-de0ec472cf75,2025-05-09,12:10:47,-38.420542699972216,-4.0691806999999995,50.876,,,GoPro,HERO11 Black,DCIM\102GOPRO\G0026906.JPG,,D:/CE 350 LVC/COMPRIMIDO\102GOPRO\G0026906.JPG,D:\CE 350 LVC\COMPRIMIDO\102GOPRO\G0026906.JPG,2025-05-09 12:10:47,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\102GOPRO\G0026906.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\102GOPRO\G0026906.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\102GOPRO\G0026906.JPG"">G0026906.JPG</a>",ACESSO,POINT (564318.7208646045 9550202.603627063),957,10.00000000007032,9.58,9+580,-5.8
ACESSO,G0047536.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0047536.JPG,Unknown,3341,2923,3,0,A-32a,Unspecified,1,0,3080,1093,3341,1418,d277d719-73b1-4e62-b296-524d70fb1e5c,2025-05-09,12:21:40,-38.442246299999994,-4.0710603999999995,51.599,,,GoPro,HERO11 Black,DCIM\103GOPRO\G0047536.JPG,,D:/CE 350 LVC/COMPRIMIDO\103GOPRO\G0047536.JPG,D:\CE 350 LVC\COMPRIMIDO\103GOPRO\G0047536.JPG,2025-05-09 12:21:40,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\103GOPRO\G0047536.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\103GOPRO\G0047536.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\103GOPRO\G0047536.JPG"">G0047536.JPG</a>",ACESSO,POINT (561909.4393073794 9549996.516594384),715,9.99999999995092,7.16,7+160,-5.8
ACESSO,G0048188.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0048188.JPG,Unknown,3341,2923,3,0,A-2a,Unspecified,0,0,2023,966,2278,1196,cb9bf576-7cd2-496c-b108-2cb2ac2df43d,2025-05-09,12:32:32,-38.47552799997222,-4.061012899972222,48.747,,,GoPro,HERO11 Black,DCIM\104GOPRO\G0048188.JPG,,D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048188.JPG,D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048188.JPG,2025-05-09 12:32:32,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048188.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048188.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048188.JPG"">G0048188.JPG</a>",ACESSO,POINT (558215.858296762 9551109.64670305),318,10.000000000136039,3.19,3+190,-5.8
ACESSO,G0048517.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0048517.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,2713,1003,3003,1250,e7247396-cb5b-4c7e-a2f2-eed9c029c478,2025-05-09,12:38:02,-38.4819036,-4.060490399972222,47.543,,,GoPro,HERO11 Black,DCIM\104GOPRO\G0048517.JPG,,D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048517.JPG,D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048517.JPG,2025-05-09 12:38:02,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048517.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048517.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048517.JPG"">G0048517.JPG</a>",ACESSO,POINT (557508.1908242378 9551167.859912975),247,10.000000000065453,2.48,2+480,-5.8
ACESSO,G0048813.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0048813.JPG,Unknown,3341,2923,3,0,R-19.4,Unspecified,0,0,2127,1093,2235,1195,3f634667-5c65-47c4-8a0a-77177516d0f5,2025-05-09,12:42:58,-38.496003999972224,-4.059560499972222,51.038,,,GoPro,HERO11 Black,DCIM\104GOPRO\G0048813.JPG,,D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048813.JPG,D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048813.JPG,2025-05-09 12:42:58,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\104GOPRO\G0048813.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048813.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\104GOPRO\G0048813.JPG"">G0048813.JPG</a>",ACESSO,POINT (555943.0835190585 9551271.639501132),91,9.99999999988716,0.92,0+920,-5.8
ACESSO,G0059399.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0059399.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,2487,1011,2697,1271,0312bfe1-c98d-4d26-bc46-191f64f93432,2025-05-09,13:52:11,-38.49166309997222,-4.059804699972222,50.787,,,GoPro,HERO11 Black,DCIM\105GOPRO\G0059399.JPG,,D:/CE 350 LVC/COMPRIMIDO\105GOPRO\G0059399.JPG,D:\CE 350 LVC\COMPRIMIDO\105GOPRO\G0059399.JPG,2025-05-09 13:52:11,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\105GOPRO\G0059399.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\105GOPRO\G0059399.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\105GOPRO\G0059399.JPG"">G0059399.JPG</a>",ACESSO,POINT (556424.914940775 9551244.344286533),139,9.999999999981053,1.4,1+400,5.8
ACESSO,G0060356.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0060356.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,2558,1125,2833,1338,2a5b4a0b-143d-499f-a0af-356a287a87d0,2025-05-09,14:08:08,-38.43201229997222,-4.0702625,52.327,,,GoPro,HERO11 Black,DCIM\106GOPRO\G0060356.JPG,,D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060356.JPG,D:\CE 350 LVC\COMPRIMIDO\106GOPRO\G0060356.JPG,2025-05-09 14:08:08,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\106GOPRO\G0060356.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060356.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060356.JPG"">G0060356.JPG</a>",ACESSO,POINT (563045.4897205848 9550083.924992856),829,9.999999999949495,8.3,8+300,5.8
ACESSO,G0060548.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0060548.JPG,Unknown,3341,2923,3,0,R-1,Unspecified,0,0,1228,886,1533,1356,606678b6-19db-4214-94b1-0c033ea7535a,2025-05-09,14:11:20,-38.420654299999995,-4.069398999972222,47.879,,,GoPro,HERO11 Black,DCIM\106GOPRO\G0060548.JPG,,D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060548.JPG,D:\CE 350 LVC\COMPRIMIDO\106GOPRO\G0060548.JPG,2025-05-09 14:11:20,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\106GOPRO\G0060548.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060548.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\106GOPRO\G0060548.JPG"">G0060548.JPG</a>",ACESSO,POINT (564306.3157252532 9550178.481361188),955,10.00000000007032,9.56,9+560,5.8
ACESSO,G0061065.JPG,E:\72 - Projeto Trechos Críticos (PSV)\M01-S01-CE-350-1\SEPARADO\ACESSO\G0061065.JPG,Unknown,3341,2923,3,0,R-2,Unspecified,0,0,2948,1076,3198,1211,559415a3-df04-4c06-9641-db1ecbc15e31,2025-05-09,14:19:58,-38.37726099997222,-4.0754063,34.559,,,GoPro,HERO11 Black,DCIM\107GOPRO\G0061065.JPG,,D:/CE 350 LVC/COMPRIMIDO\107GOPRO\G0061065.JPG,D:\CE 350 LVC\COMPRIMIDO\107GOPRO\G0061065.JPG,2025-05-09 14:19:58,"<img src = ""D:\CE 350 LVC\COMPRIMIDO\107GOPRO\G0061065.JPG"" width=""300"" height=""225""/>",file:///D:/CE 350 LVC/COMPRIMIDO\107GOPRO\G0061065.JPG,"<a href=""file:///D:/CE 350 LVC/COMPRIMIDO\107GOPRO\G0061065.JPG"">G0061065.JPG</a>",ACESSO,POINT (569122.5627100932 9549510.835611606),1455,9.999999999551688,14.56,14+560,5.8
